name,desc,last_30_d,last_90_d,last_year,build_error
fastmod,Fast partial replacement for the codemod tool,22,67,244,0
fastqc,Quality control tool for high throughput sequence data,111,304,1580,0
fasttext,Library for fast text representation and classification,22,65,339,0
fatsort,Sorts FAT16 and FAT32 partitions,36,107,502,0
faudio,Accuracy-focused XAudio reimplementation for open platforms,32,79,222,0
fauna-shell,Interactive shell for FaunaDB,137,415,1522,0
faust,Functional programming language for real time signal processing,195,424,878,0
fava,Web interface for the double-entry bookkeeping software Beancount,87,155,284,0
fb-client,Shell-script client for https://paste.xinu.at,7,39,141,0
fbi-servefiles,Serve local files to Nintendo 3DS via FBI remote installer,6,22,55,0
fblog,Small command-line JSON log viewer,9,36,111,0
fcct,Fedora CoreOS Config Transpiler,74,180,371,0
fceux,All-in-one NES/Famicom Emulator,58,117,456,0
fcgi,Protocol for interfacing interactive programs with a web server,115,420,2280,0
fcgiwrap,CGI support for Nginx,12,31,138,0
fcitx-remote-for-osx,Handle input method in command-line,17,47,169,0
fcl,Flexible Collision Library,871,2738,10393,0
fcrackzip,Zip password cracker,600,2025,9954,0
fd,"Simple, fast and user-friendly alternative to find",4971,23233,79667,0
fdclone,Console-based file manager,29,80,434,0
fdk-aac,Standalone library of the Fraunhofer FDK AAC code from Android,1655,5404,26074,0
fdk-aac-encoder,Command-line encoder frontend for libfdk-aac,98,327,1071,0
fdroidserver,Create and manage Android app repositories for F-Droid,32,66,271,0
fdupes,Identify or delete duplicate files,682,2310,16054,0
feedgnuplot,Tool to plot realtime and stored data from the command-line,15,85,613,0
feh,X11 image viewer,772,2462,6812,0
fennel,Lua Lisp Language,79,145,311,0
fetch,"Download assets from a commit, branch, or tag of GitHub repositories",213,398,716,0
fetch-crl,Retrieve certificate revocation lists (CRLs),1,5,56,0
fetchmail,"Client for fetching mail from POP, IMAP, ETRN or ODMR-capable servers",176,586,2069,0
fex,Powerful field extraction tool,3,8,28,0
ffe,Parse flat file structures and print them in different formats,1,4,20,0
fff,Simple file manager written in bash,56,164,769,0
ffind,Friendlier find,35,109,490,0
ffmpeg,"Play, record, convert, and stream audio and video",137363,441613,1568314,0
ffmpeg@2.8,"Play, record, convert, and stream audio and video",112,553,2234,0
ffmpeg2theora,Convert video files to Ogg Theora format,157,605,2085,0
ffmpegthumbnailer,Create thumbnails for your video files,224,765,2570,0
ffms2,Libav/ffmpeg based source library and Avisynth plugin,360,1491,4667,0
ffsend,Fully featured Firefox Send client,75,307,3420,0
fftw,C routines to compute the Discrete Fourier Transform,15215,48349,146160,0
ffuf,Fast web fuzzer written in Go,136,241,636,0
fibjs,JavaScript on Fiber,4,13,78,0
ficy,Icecast/Shoutcast stream grabber suite,1,7,12,0
field3d,Library for storing voxel data on disk and in memory,7,25,175,0
fifechan,C++ GUI library designed for games,1,7,23,0
fig2dev,Translates figures generated by xfig to other formats,5883,15784,47154,0
figlet,Banner-like program prints strings as ASCII art,4509,15952,67845,0
file-formula,Utility to determine file types,340,979,5107,0
file-roller,GNOME archive manager,38,97,621,0
filebeat,File harvester to ship log files to Elasticsearch or Logstash,578,1382,5666,0
fileicon,macOS CLI for managing custom icons for files and folders,106,276,747,0
finatra,Scala web framework inspired by Sinatra,0,0,0,0
findent,Indent and beautify Fortran sources and generate dependency information,2,24,73,0
findomain,Cross-platform subdomain enumerator,174,337,1353,0
findutils,"Collection of GNU find, xargs, and locate",16837,34755,94775,0
fio,I/O benchmark and stress test,284,790,4297,0
firebase-cli,Firebase command-line tools,2884,8751,30731,0
fish,User-friendly command-line shell for UNIX-like operating systems,7891,23175,140182,0
fits,File Information Tool Set,18,31,131,0
fizmo,Z-Machine interpreter,16,30,58,0
fizsh,Fish-like front end for ZSH,15,40,208,0
fizz,C++14 implementation of the TLS-1.3 standard,41,94,147,0
flac,Free lossless audio codec,50440,154213,661896,0
flac123,Command-line program for playing FLAC audio files,10,28,97,0
flactag,Tag single album FLAC files with MusicBrainz CUE sheets,6,27,106,0
flake,FLAC audio encoder,9,31,103,0
flake8,Lint your Python code for style and logical errors,773,2426,14631,0
flamegraph,Stack trace visualizer,103,170,359,0
flank,Massively parallel Android and iOS test runner for Firebase Test Lab,22,28,65,0
flann,Fast Library for Approximate Nearest Neighbors,1894,5100,17874,0
flarectl,CLI application for interacting with a Cloudflare account,68,155,380,0
flash,Command-line script to flash SD card images of any kind,32,103,335,0
flashrom,"Identify, read, write, verify, and erase flash chips",250,767,3305,0
flasm,Flash command-line assembler and disassembler,1,5,88,0
flatbuffers,"Serialization library for C++, supporting Java, C#, and Go",279,843,4533,0
flatcc,FlatBuffers Compiler and Library in C for C,14,41,190,0
flawfinder,Examines code and reports possible security weaknesses,93,176,633,0
fleet-cli,Manage large fleets of Kubernetes clusters,8,31,56,0
fleetctl,Distributed init system,4,21,161,0
flex,"Fast Lexical Analyzer, generates Scanners (tokenizers)",2211,5830,25308,0
flickcurl,Library for the Flickr API,3,11,43,0
flif,Free Loseless Image Format,6,10,49,0
flint,C library for number theory,172,372,717,0
flint-checker,Check your project for common sources of contributor friction,1,11,35,0
flintrock,Tool for launching Apache Spark clusters,3,33,123,0
flit,Simplified packaging of Python modules,3,17,35,0
flow,Static type checker for JavaScript,2016,4933,27775,0
flow-cli,Command-line interface that provides utilities for building Flow applications,86,106,108,0
flow-tools,"Collect, send, process, and generate NetFlow data reports",7,12,64,0
flowgrind,"TCP measurement tool, similar to iperf or netperf",3,11,55,0
fltk,Cross-platform C++ GUI toolkit,3226,9416,40414,0
fluent-bit,Data Collector for IoT,188,1489,6424,0
fluid-synth,Real-time software synthesizer based on the SoundFont 2 specs,2669,5788,20698,0
flume,Hadoop-based distributed log collection and aggregation,32,110,436,0
flux,Lightweight scripting language for querying databases,475,977,1043,0
fluxctl,"Command-line tool to access Weave Flux, the Kubernetes GitOps operator",972,2634,11957,0
flvmeta,Manipulate Adobe flash video files (FLV),7,17,128,0
flvstreamer,Stream audio and video from flash & RTMP Servers,3,12,25,0
flyway,Database version control to control migrations,2415,7028,27708,0
fmdiff,Use FileMerge as a diff command for Subversion and Mercurial,2,7,31,0
fmpp,Text file preprocessing tool using FreeMarker templates,11,31,128,0
fmt,Open-source formatting library for C++,3205,11569,36991,0
fn,Command-line tool for the fn project,111,595,3212,0
fnm,Fast and simple Node.js version manager,1116,2571,3814,0
fobis,KISS build tool for automatically building modern Fortran projects,20,58,122,0
folderify,Generate pixel-perfect macOS folder icons in the native style,81,263,378,0
folly,Collection of reusable C++ library artifacts developed at Facebook,564,1299,6730,0
foma,Finite-state compiler and C library,13,29,110,0
fon-flash-cli,Flash La Fonera and Atheros chipset compatible devices,1,4,21,0
fondu,Tools to convert between different font formats,0,29,515,0
font-util,X.Org: Font package creation/installation utilities,11,33,52,0
fontconfig,XML-based font configuration API for X Windows,98739,286381,1082098,0
fontforge,Command-line outline and bitmap font editor/converter,2954,13141,43562,0
fonttools,Library for manipulating fonts,637,2103,7965,0
fop,XSL-FO print formatter for making PDF or PS documents,865,1255,6026,0
forcecli,Command-line interface to Force.com,4,29,89,0
ford,Automatic documentation generator for modern Fortran programs,26,87,255,0
